"Analyt","Uniprot.ID_HECH11_IO_Plate01_11122021","LOD_HECH11_IO_Plate01_11122021","Missing.Data.freq._HECH11_IO_Plate01_11122021","Normalization_HECH11_IO_Plate01_11122021","LOD_HECH11_IO_Plate02_07172023","Missing.Data.freq._HECH11_IO_Plate02_07172023","Normalization_HECH11_IO_Plate02_07172023","LOD"
"DCN","P07585",2.056129,"0","IPC Normalized",1.575561,"0","IPC Normalized",1.815845
"TNFRSF21","O75509",-0.554164,"0","IPC Normalized",-2.292686,"0","IPC Normalized",-1.423425
"TNFRSF4","P43489",1.280206,"0","IPC Normalized",0.719144000000001,"0","IPC Normalized",0.999675
"MIC-A/B","Q29983,Q29980",1.555735,"1.538E-2","IPC Normalized",1.086895,"0","IPC Normalized",1.321315
"CCL17","Q92583",1.002702,"0","IPC Normalized",0.806327999999999,"0","IPC Normalized",0.904514999999999
"ANGPT2","O15123",1.111956,"0","IPC Normalized",0.531724,"0","IPC Normalized",0.82184
"PTN","P21246",0.925202,"0.96923000000000004","IPC Normalized",0.864928,"0.94443999999999995","IPC Normalized",0.895065
"CXCL12","P48061",0.829523,"0.47692000000000001","IPC Normalized",1.131027,"0.77778000000000003","IPC Normalized",0.980275
"IFN-gamma","P01579",2.417692,"0","IPC Normalized",1.999738,"0","IPC Normalized",2.208715
"LAMP3","Q9UQV4",0.522122,"0","IPC Normalized",1.068768,"0","IPC Normalized",0.795445
"CASP-8","Q14790",2.33385,"0","IPC Normalized",1.20811,"0","IPC Normalized",1.77098
"ICOSLG","O75144",1.320236,"0","IPC Normalized",0.956434000000001,"0","IPC Normalized",1.138335
"MMP12","P39900",0.805676,"0","IPC Normalized",1.066754,"0","IPC Normalized",0.936215
"CXCL13","O43927",1.651916,"0","IPC Normalized",0.790874,"0","IPC Normalized",1.221395
"PD-L2","Q9BQ51",1.823565,"9.2310000000000003E-2","IPC Normalized",1.634015,"0.11111","IPC Normalized",1.72879
"VEGFA","P15692",0.632195,"0","IPC Normalized",1.024565,"0","IPC Normalized",0.82838
"IL4","P05112",0.5266,"0.90769","IPC Normalized",0.89242,"0.77778000000000003","IPC Normalized",0.70951
"LAG3","P18627",1.524543,"0","IPC Normalized",0.759707,"0","IPC Normalized",1.142125
"IL12RB1","P42701",1.074663,"0.10768999999999999","IPC Normalized",1.349827,"0.30556","IPC Normalized",1.212245
"IL13","P35225",1.770674,"0.90769","IPC Normalized",1.866526,"0.86111000000000004","IPC Normalized",1.8186
"CCL20","P78556",0.921589999999999,"0","IPC Normalized",1.18867,"0","IPC Normalized",1.05513
"TNF","P01375",1.43488,"0","IPC Normalized",2.67458,"0","IPC Normalized",2.05473
"KLRD1","Q13241",0.714931999999999,"0","IPC Normalized",0.948728,"0","IPC Normalized",0.83183
"GZMB","P10144",0.8116,"0","IPC Normalized",0.53307,"0","IPC Normalized",0.672335
"CD83","Q01151",0.489577,"0","IPC Normalized",0.691793,"0","IPC Normalized",0.590685
"IL12","P29459,P29460",1.494254,"0","IPC Normalized",1.593556,"0","IPC Normalized",1.543905
"CSF-1","P09603",1.709348,"0","IPC Normalized",1.854042,"0","IPC Normalized",1.781695
